Super Category,Category,Term,Definition,,
Ammendments,Later Amendments,Amendment XV; Amendment 15; 15; 15th Amendment,Gives universal manhood suffrage. (1870),,
Ammendments,Later Amendments,Amendment XVI; Amendment 16; 16; 16th Amendment,Instates income tax. (1913),,
Ammendments,Later Amendments,Amendment XVII; Amendment 17; 17; 17th Amendment,Allows the public to vote for the senate. (1913),,
Ammendments,Later Amendments,Amendment XVIII; Amendment 18; 18; 18th Amendment,Begins prohibition. (1919),,
Ammendments,Later Amendments,Amendment XIX; Amendment 19; 19; 19th Amendment,Gives women's suffrage. (1920),,
Ammendments,Later Amendments,Amendment XX; Amendment 20; 20; 20th Amendment,The lame duck ammendment - moves the start and end of terms to lessen time between election and appointment. (1933),,
Ammendments,Later Amendments,Amendment XXI; Amendment 21; 21; 21st Amendment,Ends prohibition. (1933),,
Ammendments,Later Amendments,Amendment XXII; Amendment 22; 22; 22nd Amendment,Instates a limit on presidency - either two terms or 10 years. (1951),,
Ammendments,Later Amendments,Amendment XXIII; Amendment 23; 23; 23rd Amendment,Gives Washington DC three votes in the presidential election. (1961),,
Ammendments,Later Amendments,Amendment XXIV; Amendment 24; 24; 24th Amendment,Forbids poll taxes. (1964),,
Ammendments,Later Amendments,Amendment XXV; Amendment 25; 25; 25th Amendment,Outlines succession of the presidency (to the VP) and how a president unable to perform their duties may be removed. (1967),,
Ammendments,Later Amendments,Amendment XXVI; Amendment 26; 26; 26th Amendment,Allows 18 year olds to vote. Instated during the Vietnam War. (1971),,
Ammendments,Later Amendments,Amendment XXVII; Amendment 27; 27; 27th Amendment,Denies any laws that vary the salaries of Congress members until the beginning of the next terms of office for Representatives,,
Trivia,General,To find out who's not here and more importantly who's here.,Why does Dremousis do attendance?,,
Trivia,General,435,How many members of the House of Representatives are there?,,
Trivia,General,1,How many Hispanic people are on the Supreme court?,,
Trivia,General,2,How many African Americans are on the Supreme court?,,
Trivia,General,6,How many conservatives are on the Supreme court?,,
Trivia,General,4,How many women are on the Supreme court?,,
Trivia,General,270,How many electoral votes are needed to win the presidency?,,
Trivia,General,Social welfare systems; Welfare,"Social security, medicaid, medicare, unemployment, and disability are examples of what?",,
Trivia,General,2,The number of senators per state.,,
Trivia,General,10,The number of House of Representative members from Washington.,,
Trivia,General,4 ways laws are created,"Act of Congress, Supreme Court decision, Constitutional Amendments, Executive Order",,
Trivia,General,Restorative justice,Seeks to restore from damages and open a dialogue between the perpetrator and victims.,,
Trivia,Isreal,Hamas,What is the name of the terrorist group associated with the Palestinians which has recently gotten into war against the Israeli government?,,
Trivia,Isreal,Gaza strip; Gaza,The Palestinian settlement which is mostly led by Hamas.,,
Trivia,Isreal,West Bank,The Palestinian settlement led by the Palestinian Liberation Organization.,,
Trivia,Isreal,Mahmoud Abbas; Abbas,Head of the recognized Palestinian government.,,
Trivia,Isreal,Iran,Govenment that majorly funds Hamas.,,
Trivia,House of Representatives,Kevin McCarthy; McCarthy,Former House speaker ousted by vote of no confidence by six Republican votes.,,
Trivia,House of Representatives,Mike Johnson; Johnson,Current Speaker of the House,,
Trivia,House of Representatives,Matt Gaetz; Gaetz,Led removal of Speaker McCarthy.,,
"Unit 1 - One Republic, Two Americas?",Core,Anarchy,The absence of political institutions.,,
"Unit 1 - One Republic, Two Americas?",Core,Aristocracy,A form of government in which power is held by the nobility.,,
"Unit 1 - One Republic, Two Americas?",Core,Authoritarianism,A form of government where power is intensely concentrated in the few. Allows some non-government-controlled social and economic institutions.,,
"Unit 1 - One Republic, Two Americas?",Core,Capitalism,An economic system characterized by private ownership and free markets.,,
"Unit 1 - One Republic, Two Americas?",Core,Conservatism,"A set of beliefs characterized by minimizing the role of national government in welfare, supporting traditional values, and a cautious response to change.",,
"Unit 1 - One Republic, Two Americas?",Core,Democracy,A type of government where authority is given to the people as a whole.,,
"Unit 1 - One Republic, Two Americas?",Core,Democratic republic,A republic in which elected representatives make and enforce laws and policies.,,
"Unit 1 - One Republic, Two Americas?",Core,Direct democracy,A system of government where people directly make decisions rather than elected officials. Typically found in smaller communities.,,
"Unit 1 - One Republic, Two Americas?",Core,Elite theory,The perspective that society is ruled by a small number of people who exercise power to further their own interests.,,
"Unit 1 - One Republic, Two Americas?",Core,Eminent domain,The ability of the government to take land with just compensation. Allowed in the 5th amendment.,,
"Unit 1 - One Republic, Two Americas?",Core,Equality,The political value that everyone is of equal worth.,,
"Unit 1 - One Republic, Two Americas?",Core,Government,An institution made to resolve conflicts or allocate benefits. Is the ultimate authority of a society.,,
"Unit 1 - One Republic, Two Americas?",Core,Ideology,A comprehensive set of beliefs about the role of government. ,,
"Unit 1 - One Republic, Two Americas?",Core,Legistlature,A governmental body responsible for making laws.,,
"Unit 1 - One Republic, Two Americas?",Core,Liberalism,"A set of beliefs characterized by positive government action for welfare, support for civil rights, and tolerance for political and social change.",,
"Unit 1 - One Republic, Two Americas?",Core,Libertarianism,A political ideology based on skepticism toward government activities.,,
"Unit 1 - One Republic, Two Americas?",Core,Limited government,"The principle that government powers should be limited, usually by institutional checks.",,
"Unit 1 - One Republic, Two Americas?",Core,Majority,More than half.,,
"Unit 1 - One Republic, Two Americas?",Core,Oligarchy,Rule by the few; a government run by a small group of people for corrupt and self-serving purposes.,,
"Unit 1 - One Republic, Two Americas?",Core,Politics,The process of resolving conflicts. Understanding the struggle for power.,,
"Unit 1 - One Republic, Two Americas?",Core,Recall,A procedure for people to vote to remove an official from office.,,
"Unit 1 - One Republic, Two Americas?",Core,Referendum,When decisions on legistlative or constitutional measures are referred from the legistlature to the people.,,
"Unit 1 - One Republic, Two Americas?",Core,Representative democracy,A form of government in which representatives are elected by the people to make and enforce laws; may retain monarchy in a ceremonial role.,,
"Unit 1 - One Republic, Two Americas?",Core,Republic,A form of government where soverignty rests with the people rather than a king or monarch.,,
"Unit 1 - One Republic, Two Americas?",Core,Social contract,A theory of politics asserting that individuals form political communities and give up some personal liberty for the protection from a government.,,
"Unit 1 - One Republic, Two Americas?",Core,Socialism,A political ideology based on strong support for economic and social equality.,,
"Unit 1 - One Republic, Two Americas?",Core,Totalitarian regime,A form of government that controls all aspects of politicals and social life.,,
"Unit 1 - One Republic, Two Americas?",Core,Universal suffrage,The right of all adults to vote for their representatives.,,
"Unit 1 - One Republic, Two Americas?",Extended,Divine right of kings,A political and religious doctrine asserting that a monarch's power is handed directly by God and is not subject to an earthly authority.,,
"Unit 1 - One Republic, Two Americas?",Extended,Hispanic,Term used more often by government agencies. Describes individuals claiming heritage from a Spanish-speaking country other than Spain.,,
"Unit 1 - One Republic, Two Americas?",Extended,Initiative,A procedure in which citizens can propose a law or amendment.,,
"Unit 1 - One Republic, Two Americas?",Extended,Institution,An ongoing organization that performs functions in a society.,,
"Unit 1 - One Republic, Two Americas?",Extended,Latino,Preferred term for individuals claiming heritage from a Spanish-speaking country other than Spain.,,
"Unit 1 - One Republic, Two Americas?",Extended,Liberty,Maximizing the freedom of individuals without violating the freedom of other individuals in a society.,,
"Unit 1 - One Republic, Two Americas?",Extended,Majoritarianism,"The political theory that in a democracy, government ought to do what the majority of people want.",,
"Unit 1 - One Republic, Two Americas?",Extended,Majority rule,The principle of democracy that the greatest number of citizens should select officials and determine policies.,,
"Unit 1 - One Republic, Two Americas?",Extended,Order,A state of peace and security.,,
"Unit 1 - One Republic, Two Americas?",Extended,Pluralism,A theory viewing politics as conflict among various interest groups. Decision making through bargaining and compromise.,,
"Unit 1 - One Republic, Two Americas?",Extended,Political culture,"The set of ideas, values, and ways of thinking about government and politics shared by citizens.",,
"Unit 1 - One Republic, Two Americas?",Extended,Political socialization,"The process through which individuals form political attitudes and opinions, often from families and education.",,
"Unit 1 - One Republic, Two Americas?",Extended,Property,Anything subject to ownership.,,
Unit 2 - The Constitution,Core,Anti-federalist,Opposed the new Constitution in 1787 and in general opposed a strong central goverment.,,
Unit 2 - The Constitution,Core,Bicameral legislature; Bicameral,"A legislature with two chambers. In the US, the Senate and House of Representatives.",,
Unit 2 - The Constitution,Core,Checks and balances,The principle of government where the actions of one branch are checked by the others.,,
Unit 2 - The Constitution,Core,Electoral college,The system of voting for president and vice president where electors from each state and DC cast votes. The number of electors per state is equal to the number of representatives in both chambers of Congress.,,
Unit 2 - The Constitution,Core,Federalist,Supported the adoption of the Constitution and the creation of a federal union with a strong central government.,,
Unit 2 - The Constitution,Core,Federal system,A system of government where power is divided by a central and regional governments where both have some domain where their policies are dominant.,,
Unit 2 - The Constitution,Core,Great compromise; Connecticut compromise,The compromise between the New Jersey and Virginia plans for two chambers with one based on population and another having equal representation among states.,,
Unit 2 - The Constitution,Core,Madisonian model,"The structure of government proposed by James Madison for three branches: legistlative, executive, and judicial.",,
Unit 2 - The Constitution,Core,Natural rights,"Rights held to be inherent and not dependent on governments. ""Life, liberty, and the pursuit of happiness""",,
Unit 2 - The Constitution,Core,Representative assembly,A legislature consisting of individuals who represent the population.,,
Unit 2 - The Constitution,Core,Separation of powers,The principle of dividing powers among different branches of government.,,
Unit 2 - The Constitution,Core,Supremacy clause,Asserts the priority of national laws over state laws.,,
Unit 2 - The Constitution,Core,Unicameral legistlature; Unicameral,A legistlature with only one chamber. Nebraska is the only state in the Union that features this.,,
Unit 2 - The Constitution,Extended,Confederation,A political system of independent states that have ultimate authority except for powers they delegate to a central government; a voluntary association of states with few limits on the action of states.,,
Unit 2 - The Constitution,Extended,Ratification,Formal approval.,,
Unit 2 - The Constitution,Extended,State,A group of people occupying a specific area organized under one government.,,  
Unit 3 - Federalism,Core,Commerce clause,"The United States Congress shall have power ""to regulate Commerce with foreign Nations, and among the several States, and with the Indian Tribes""",,
Unit 3 - Federalism,Core,Concurrent powers,"Powers held jointly by the national and state governments. Ex. power to tax, borrow funds, establish courts, and charter banks.",,
Unit 3 - Federalism,Core,Dual federalism,A system in which states and the federal government are viewed as two separate and independent spheres which should not interfere with each other. They should not exercise authority in the same areas.,,
Unit 3 - Federalism,Core,Elastic clause; Necessary and proper clause; Article 1 section 8,Allows the federal government to stretch interpretations of the law to do what is necessary for the government to run. Allowed for the creation of the national bank and department of homeland security.,,
Unit 3 - Federalism,Core,Federalism,A system of government in which power is divided into a central government and regional governments or subunits. Each level has some domain in which its policies are dominant.,,
Unit 3 - Federalism,Core,Full faith and credit clause,The section of the Constitution requiring states to recognize other states' laws and court decisions.,,
Unit 3 - Federalism,Core,Interstate compact,An agreement between two or more states. May require approval from Congress if it gives an advantage to contracting states relative to other states or the national government. Used to resolve regional problems.,,
Unit 3 - Federalism,Core,Picket-fence federalism,A model of federalism where all policies (the vertical pickets) involve and are supported by all levels of government (the horizontal boards).,,
Unit 3 - Federalism,Core,Supremacy clause; Supremacy,Art. VI. The Constitution and federal laws are superior to conflicting state and local laws.,,
Unit 3 - Federalism,Core,Unitary system; Unitary,A system of centralized government in which subdivisional governments only exercise powers handed down from the central government.,,
Unit 3 - Federalism,Extended,Block grants; Block,Federal grants to state or local governments for general functional areas such as criminal justice or mental health programs. Groups several categorical grants in one and provides more flexibility.,,
Unit 3 - Federalism,Extended,Categorical grants; Categorical,"Federal grants to state or local governments for specific programs. Includes Medicaid, highway construction, unemployment benefits, and housing assistance.",,
Unit 3 - Federalism,Extended,Confederal system,A system consisting of a league of independent states with soverign powers. The central government created has limited powers over the states.,,
Unit 3 - Federalism,Extended,Cooperative federalism,The theory that states and the national government should cooperate to solve problems.,,
Unit 3 - Federalism,Extended,Devolution,The transfer of national or central government powers to state or local government.,,
Unit 3 - Federalism,Extended,Extradite,To surrender an accused or convicted criminal to the authorities of which the person has fled; to return to the jurisdiction of the accusing state.,,
Unit 3 - Federalism,Extended,Federal mandate,Federal legistlation that forces states and municipalities to comply with certain rules.,,
Unit 3 - Federalism,Extended,Privileges and immunities,Special rights and excemptions provided by the law. States may not discriminate against the citzens of another state. Ex. a student from Oregon attending school at UW is given the same right as Washingtonians to hold a job and travel freely.,,
Unit 3 - Federalism,Extended,Police power,"The authority to legistlate the protection of health, morals, safety, and welfare of the people. Mostly reserved for states in the US.",,
Unit 4 - Civil Liberties,Core,Civil liberties,"Freedoms that protect individuals, usually by restraining the actions of governments against individuals.",,
Unit 4 - Civil Liberties,Core,Clear and present danger test,A test proposed by Justice Oliver Wendell Holmes. Free speech can be restricted when there is a clear and present danger to the public order.,,
Unit 4 - Civil Liberties,Core,Commercial speech,Advertising statements. Have increasingly been given 1st amendment protections.,,
Unit 4 - Civil Liberties,Core,Establisment clause,Prohibits the federal government from establishing and officially supporting a church. Guarantees separation of church and state.,,
Unit 4 - Civil Liberties,Core,Exclusionary rule,Illegally obtained evidence cannot be used. Similar to the legal principle of fruit of the poisonous tree.,,
Unit 4 - Civil Liberties,Core,Free exercise clause,Prohibits the government from constraining the exercise of religion.,,
Unit 4 - Civil Liberties,Core,Incorporation theory; Incorporation,The idea that protections in Bill of Rights applies to states through the 14th Amendment's due process clause.,,
Unit 4 - Civil Liberties,Core,Libel,"Written defamation of a person's character, reputation, business, or property rights.",,
Unit 4 - Civil Liberties,Core,Slander,A public statement that is false and harms the good reputation of another made to persons other than the defamed party.,,
Unit 4 - Civil Liberties,Core,Symbolic speech,Nonverbal expression of beliefs. Often given substantial protection by the courts.,,
Unit 4 - Civil Liberties,Extended,Actual malice,Either a person's (1) knowledge of the falsity of a defamatory statement or (2) reckless disregard for the truth.,,
Unit 4 - Civil Liberties,Extended,Defamation of character; Defamation,Wrongfully hurting one's good reputation.,,
Unit 4 - Civil Liberties,Extended,Gag order; Gag,An order issued by a judge to restrict news coverage of a trial to protect the accused's right to a fair trial.,,
Unit 4 - Civil Liberties,Extended,Prior restraint,Restraining an activity before it has occurred. Called censorship when expression is involved.,,
Unit 4 - Civil Liberties,Extended,Public figure,A public official or celebrity known to the public.,,
Unit 5 - Civil Rights,Core,Affirmative action,Policy in admissions or hiring to give special attention to disadvantaged groups with the goal of overcoming present effects of past discrimination.,,
Unit 5 - Civil Rights,Core,Black Codes,Laws passed by southern states immediately after the civil war denying most legal rights to freed slaves.,,
Unit 5 - Civil Rights,Core,Busing,"In the context of civil rights, the transportation of public school students from areas where they live to schools in other areas to eliminate school segregation based on residential racial patterns.",,
Unit 5 - Civil Rights,Core,Grandfather clause,Used by Southern states to disenfranchize Black voters by restricting voting to those whose grandfathers had voted before 1867.,,
Unit 5 - Civil Rights,Core,Hate crime,"A criminal offense against a person or property that is motivated by bias against some protected trait such as race, gender identity, or religion.",,
Unit 5 - Civil Rights,Core,Jim Crow laws,Laws enacted by Southern states to enforce segregation.,,
Unit 5 - Civil Rights,Core,Literacy test,"A test administered as a precondition for voting, often used to prevent African Americans from voting.",,
Unit 5 - Civil Rights,Core,Poll tax,A tax that must be paid to qualify for voting. Outlawed in the 24th amendment for national elections and in 1966 declared unconstitutional in all elections by the Supreme Court.,,
Unit 5 - Civil Rights,Core,Reparation,"Compensation, both monetary or nonmonetary in the form of an apology, to make amends for harm caused.",,
Unit 5 - Civil Rights,Core,Separate-but-equal doctrine,The 1896 doctrine that separate facilities could be offered without violating the equal protection clause. From Plessy v. Ferguson.,,
Unit 5 - Civil Rights,Core,Subpoena,A legal writ requiring one to appear in court to give testimony.,,
Unit 5 - Civil Rights,Extended,Civil disobedience,"Nonviolent, public refusal to obey allegedly unjust laws.",,
Unit 5 - Civil Rights,Extended,Civil rights,The right to equal treatment under the law as guaranteed by the Fourteenth Amendment.,,
Unit 5 - Civil Rights,Extended,De facto segregation,Racial segregation due to past conditions and residential racial patterns.,,
Unit 5 - Civil Rights,Extended,De jure segregation,Racial segregation due to laws or policies by publuc agencies.,,
Unit 5 - Civil Rights,Extended,Feminism,The philosophy of achieving social equality for women and gender consciousness to mobilize women for change.,,
Unit 5 - Civil Rights,Extended,Gender discriminiation,The practice of denying equal treatment on the basis of sex.,,
Unit 5 - Civil Rights,Extended,Reverse discrimination,Accuses affirmative action of discriminating against those who do not have minority status.,,
Unit 5 - Civil Rights,Extended,Sexual harassment,"Unwanted physical or verbal conduct, sexual in nature, that interferes with one's ability to work or carries other negative consequences.",,
Unit 5 - Civil Rights,Extended,Suffrage,The right to vote.,,
Unit 5 - Civil Rights,Extended,White primary,A state primary election that restricts voting to whites only; outlawed by the Supreme Court in 1944.,,
Unit 6 - Political Socialization,Core,Gender gap,"Women are more likely to support Democratic candidates, while men are more likely to support Republican ones.",,
Unit 6 - Political Socialization,Core,Generational effect,Different generations tend to form different opinions on events with long-lasting consequences.,,
Unit 6 - Political Socialization,Core,Life Cycle Effect,"Older people tend to take more conservative stances, while younger people take more liberal ones.",,
Unit 6 - Political Socialization,Core,Managed news,Information generated and distributed by the government in such a way as to give government interests priority over candor.,,
Unit 6 - Political Socialization,Core,Opinion leader,"One who is able to influence the opinions of others because of position, expertise, or personality.",,
Unit 6 - Political Socialization,Core,Opinion poll,"A method of systematically questioning a small, selected sample of respondents who are deemed representative of the total population.",,
Unit 6 - Political Socialization,Core,Peer group,A group consisting of members sharing common social characteristics. Play an important part in shaping opinions.,,
Unit 6 - Political Socialization,Core,Political Socialization,The process by which people acquire political beliefs and atitudes.,,
Unit 6 - Political Socialization,Core,Socioeconomic Status,The social standing or economic class of an individual or group.,,
Unit 6 - Political Socialization,Extended,NonOpinion,An issue on which not enough people are informed or care to form a public opinion.,,
Unit 6 - Political Socialization,Extended,Concensus,General agreement among the citizenry on an issue.,,
Unit 6 - Political Socialization,Extended,Divisive opinion,Public opinion that is polarized between two quite different opinions.,,
Unit 6 - Political Socialization,Extended,Agenda setting,Determining which public policy questions will be debated or considered.,,
Unit 6 - Political Socialization,Extended,Media,Channels of mass communication.,,
Unit 6 - Political Socialization,Extended,Political Trust,The population's confidence in the government.,,
Unit 6 - Political Socialization,Extended,Public Opinion,The aggregate of individual attitudes or beliefs by some portion of the adult population.,,
Unit 6 - Political Socialization,Extended,Sampling Error,The difference between a sample's results and the true result if the entire population had been interviewed.,,
Unit 6 - Political Socialization,Extended,Watergate Break-in; Watergate Scandal; Watergate,President Nixon's administration broke into the Democratic National Committee headquarters at the Watergate Office Building.,,
Unit 7 - Interest Groups,Core,Interest groups,An organized group of individuals sharing common objectives who actively attempt to influence policymakers.,,
Unit 7 - Interest Groups,Core,Lobbyist,An organization or individual who attempts to influence legislation and the administrative decisions of government.,,
Unit 7 - Interest Groups,Core,Social movement,"A movement that represents the demands of a large segment of the public for political, economic, or social change.",,
Unit 7 - Interest Groups,Core,Free Rider Problem,The difficulty interest groups face in recruiting members when the benefits they achieve can be gained without joining the group.,,
Unit 7 - Interest Groups,Core,Solidary Incentive; Solidary,A reason or motive for supporting or participating in the activities of a group based on the desire to associate with others and to share with others a particular interest or hobby.,,
Unit 7 - Interest Groups,Core,Material Incentive; Material,A reason or motive for supporting or participating in the activities of a group based on economic benefits or opportunities.,,
Unit 7 - Interest Groups,Core,Purposive Incentive; Purposive,A reason for supporting or participating in the activities of a group based on agreement with the goals of the group. ,,
Unit 7 - Interest Groups,Core,Labor Movement,"Generally, the economic and political expression of working-class interests; politically, the organization of working-class interests.",,
Unit 7 - Interest Groups,Core,Direct Technique; Direct,An interest group activity that involves interaction with government officials to further the group's goals.,,
Unit 7 - Interest Groups,Core,Indirect Technique; Indirect,A strategy employed by interest groups that uses third parties to influence government officials.,,
Unit 7 - Interest Groups,Core,Climate Control,"The use of public relations techniques to create favorable public opinion toward an interest group, industry, or corporation.",,
Unit 7 - Interest Groups,Core,Boycott,A form of pressure or protest—an organized refusal to purchase a particular product or deal with a particular business.,,
Unit 7 - Interest Groups,Extended,Latent Interests,Public-policy interests that are not recognized or addressed by a group at a particular time.,,
Unit 7 - Interest Groups,Extended,Service sector,"The sector of the economy that provides services—such as health care, banking, and education—in contrast to the sector that produces goods.",,
Unit 7 - Interest Groups,Extended,Public Interest,"The best interests of the overall community; the national good, rather than the narrow interests of a particular group.",,
Unit 7 - Interest Groups,Extended,Home style politician; Home style,A politician that represents the people.,,
Unit 7 - Interest Groups,Extended,Hill style politician; Hill style,A politician that pursues personal interests and represents lobbyist.,,
Unit 7 - Interest Groups,Extended,Lobbying Disclosure Act; LDA,"An act passed in 1995 that created, among other things, a comprehensive reporting and disclosure structure for lobbyists, prohibited the spending of federal money on lobbying, and, in some cases, limited the percent of spending that can go to lobbying.",,
Unit 8 - Political Parties,Core,Independent,A voter or candidate who does not identify with a political party.,,
Unit 8 - Political Parties,Core,Political Party,"A group of political activists who organize to win elections, operate the government, and determine public policy.",,
Unit 8 - Political Parties,Core,Factions,A group or bloc in a legislature or political party acting in pursuit of some special interest or position.,,
Unit 8 - Political Parties,Core,Democratic Party,One of the two major American political parties evolving out of the Republican Party of Thomas Jefferson.,,
Unit 8 - Political Parties,Core,Republican Party,One of the two major American political parties. It emerged in the 1850s as an antislavery party and consisted of former Northern Whigs and antislavery Democrats.,,
Unit 8 - Political Parties,Core,3/4; 75%,What portion of promises made in a party platform eventually become laws?  ,,
Unit 8 - Political Parties,Core,Swing States,States that do not conistently vote for one party.,,
Unit 8 - Political Parties,Core,Reverse-Income Effect,A tendency for wealthier states or regions to favor the Democrats and for less wealthy states or refions to favor the Republicans. The effect appears paradoxical because it reverses traditional patters of support.,,
Unit 8 - Political Parties,Core,Party-In-Electorate,Those members of the general public who identify with a political party or who express a preference for one party over another,,
Unit 8 - Political Parties,Core,Party Organization,"The formal structure and leadership of a political party, including election committees; local, state, and national executives; and paid professional staff.",,
Unit 8 - Political Parties,Core,Party in Government,All the elected and appointed officials who identify with a political party.,,
Unit 8 - Political Parties,Core,National Convention,"The meeting held every four years by each major party to select presidential and vice presidential candidates, to write a platform, to choose a national committee, and to conduct party business.",,
Unit 8 - Political Parties,Core,Party Platform,"A document drawn up at each national convention outlining the policies, positions, and principles of the party.",,
Unit 8 - Political Parties,Core,State Central Committee,The principal organized structure of each political party within each state. This committee is responsible for carrying out policy decisions of the party's state convention.,,
Unit 8 - Political Parties,Core,Unit Rule,A rule by which all of a state’s electoral votes are cast for the presidential candidate receiving a plurality of the popular vote in that state.,,
Unit 8 - Political Parties,Core,Divided Government,"A situation in which one major political party controls the presidency and the other controls the chambers of Congress, or in which one party controls a state governorship and the other controls the state legislature.",,
Unit 8 - Political Parties,Core,Ticket Splitting,"Voting for candidates of two or more parties for different offices. For example, a voter splits her ticket if she votes for a Republican presidential candidate and a Democratic congressional candidate.",,
Unit 8 - Political Parties,Core,Safe Seat,A district that returns the legislator with 55 percent of the vote or more.,,
Unit 8 - Political Parties,Core,Electoral College,"A group of persons, called electors, who are selected by the voters in each state. This group officially elects the president and the vice president of the United States.",,
Unit 8 - Political Parties,Core,Third Party,A political party other than the two major political parties (Republican and Democratic).,,
Unit 8 - Political Parties,Core,Splinter Party,"A new party formed by a dissident faction within a major political party. Often, splinter parties have emerged when a particular personality was at odds with the major party.",,
Unit 8 - Political Parties,Core,Realignment,"A process in which a substantial group of voters switches party allegiance, producing a long-term change in the political landscape.",,
Unit 8 - Political Parties,Core,Dealignment,A decline in party loyalties that reduces long-term party commitment.,,
Unit 8 - Political Parties,Core,Straight-Ticket Voting,Voting exclusively for the candidates of one party.,,
Unit 8 - Political Parties,Core,Swing Voters,Voters who frequently swing their support from one party to another.,,
Unit 8 - Political Parties,Core,Tipping,"A phenomenon that occurs when a group that is becoming more numerous over time grows large enough to change the political balance in a district, state, or country.",,
Unit 8 - Political Parties,Extended,Two-Party System,A political system in which only two parties have a reasonable chance of winning.,,
Unit 8 - Political Parties,Extended,Era of Good Feelings,"The years from 1817 to 1825, when James Monroe was president and had, in effect, no political opposition. (The federalist party had recently practically dissolved)",,
Unit 8 - Political Parties,Extended,Federalists and Antifederalists; Federalists; Antifederalists; Democratic Republicans; Jefferson's Republicans,"One of the original two political parties, formed shortly after the ratification of the constitution. One was led by Adams, the other by Jefferson.",,
Unit 8 - Political Parties,Extended,Whig Party,"A major party in the United States during the first half of the 19th century, formally established in 1836. The Whig Party was anti-Jackson and represented a variety of regional interests.",,
Unit 8 - Political Parties,Extended,The new deal,"After the great depression destroyed general confidence in the ability of the republicans to manage the economy, this garnered mass support for Democrats.",,
Unit 8 - Political Parties,Extended,Patronage,Rewarding faithful party workers and followers with government employment and contracts. This was often used by political machines to maintain control.,,
Unit 8 - Political Parties,Extended,Plurality,A number of votes cast for a candidate that is greater than the number of votes for any other candidate but not necessarily be a majority.,,
Unit 8 - Political Parties,Extended,Party Identification,Linking oneself to a particular political party.,,
Unit 9 - Voting and Elections,Core,Rational Ignorance Effect,An effect produced when people purposely and rationally decide not to become informed on an issue because they believe that their vote on the issue is not likely to be a deciding one; a lack of incentive to seek the necessary information to cast an intelligent vote.,,
Unit 9 - Voting and Elections,Core,Caucus,A meeting of party members designed to select candidates and propose policies.,,
Unit 9 - Voting and Elections,Core,Closed Primary,A type of primary in which the voter is limited to choosing candidates of the party of which he or she is a member.,,
Unit 9 - Voting and Elections,Core,Open Primary,A primary in which any registered voter can vote (but must vote for candidates of only one party).,,
Unit 9 - Voting and Elections,Core,Australian Ballot,"A secret ballot prepared, distributed, and tabulated by government officials at public expense. Since 1888, all U.S. states have used this type of ballot rather than an open, public ballot.",,
Unit 9 - Voting and Elections,Core,Office-Block Ballot or Massachusetts Ballot; Office-Block Ballot; Massachusetts Ballot,"A form of general-election ballot in which candidates for elective office are grouped together under the title of each office. It emphasizes voting for the office and the individual candidate, rather than for the party.",,
Unit 9 - Voting and Elections,Core,Party-Column Ballot or Indiana Ballot; Party-Column Ballot; Indiana Ballot,"A form of general-election ballot in which all of a party's candidates for elective office are arranged in one column under the party's label and symbol. It emphasizes voting for the party, rather than for the office or individual.",,
Unit 9 - Voting and Elections,Core,Coattail Effect,"The influence of a popular candidate on the electoral success of other candidates on the same party ticket. The effect is increased by the partycolumn ballot, which encourages straight-ticket voting.",,
